year,coal_gwh,oil_based_gwh,natural_gas_gwh,geothermal_gwh,hydro_gwh,biomass_gwh,solar_gwh,wind_gwh,total_re_gwh,total_gwh
2003,14939,7170,13139,9822,7870,0,0,0,17692,52941
2004,16194,8504,12384,10282,8593,0,0,0,18874,55957
2005,15257,6141,16861,9902,8387,0,2,17,18308,56568
2006,15294,4665,16366,10465,9939,0,1,53,20459,56784
2007,16837,5148,18789,10215,8563,0,1,58,18837,59612
2008,15749,4868,19576,10723,9843,0,1,61,20628,60821
2009,16476,5381,19887,10324,9788,14,1,64,20191,61934
2010,23301,7101,19518,9929,7803,27,1,62,17823,67743
2011,25342,3398,20591,9942,9698,115,1,88,19845,69176
2012,28265,4254,19642,10250,10252,183,1,75,20762,72922
2013,32081,4491,18791,9605,10019,212,1,66,19903,75266
2014,33054,5708,18690,10308,9137,196,17,152,19810,77261
2015,36686,5886,18878,11044,8665,367,139,748,20963,82413
2016,43303,5661,19854,11070,8111,726,1097,975,21979,90798
2017,46847,3787,20547,10270,9611,1013,1201,1094,23189,94370
2018,51932,3173,21334,10435,9384,1105,1249,1153,23326,99765
2019,57890,3752,22354,10691,8025,1040,1246,1042,22044,106041
2020,58176,2474,19497,10757,7192,1261,1373,1026,21609,101756
2021,62052,1616,19060,10016,9185,1445,1470,1270,23386,106115
2022,66430,2519,17884,10425,10085,1322,1822,1030,24684,111516
2023,73754,1304,16668,10730,10287,1409,2544,1308,26278,118004
2024,79359,1342,18047,10789,10909,1446,3811,1239,28193,126941
