year,luzon_gwh,visayas_gwh,mindanao_gwh,total_gwh
2003,37535,8842,6564,52941
2004,39854,9016,7087,55957
2005,40627,8698,7243,56568
2006,41241,8129,7414,56784
2007,43620,8102,7890,59612
2008,44200,8650,7972,60821
2009,44975,8724,8235,61934
2010,50265,9075,8403,67743
2011,50017,10456,8703,69176
2012,52312,11483,9127,72922
2013,54820,11100,9347,75266
2014,56766,11014,9481,77261
2015,60113,12170,10130,82413
2016,66498,12955,11345,90798
2017,68512,14054,11804,94370
2018,72728,14266,12770,99765
2019,76177,16060,13805,106041
2020,72419,15485,13852,101756
2021,75243,16268,14604,106115
2022,79821,16222,15473,111516
2023,83290,18163,16551,118004
2024,90269,16099,20572,126941
