year,residential_gwh,commercial_gwh,industrial_gwh,others_gwh,total_sales_gwh,utilities_own_use_gwh,system_losses_gwh,total_consumption_gwh
2003,15357,11106,15188,1069,42720,3410,6810,52941
2004,15920,11785,15012,1359,44076,4654,7228,55957
2005,16031,12245,15705,1177,45159,4591,6817,56568
2006,15830,12679,15888,1275,45672,4227,6885,56784
2007,16376,13470,16522,1641,48009,3994,7608,59612
2008,16644,14136,17031,1395,49206,3935,7680,60821
2009,17504,14756,17084,1523,50868,3524,7542,61934
2010,18833,16261,18576,1596,55266,4677,7800,67743
2011,18694,16624,19334,1446,56098,5398,7680,69176
2012,19695,17777,20071,1668,59211,5351,8360,72922
2013,20614,18304,20677,1971,61566,5959,7741,75266
2014,20969,18761,21429,2186,63345,6461,7455,77261
2015,22747,20085,22514,2462,67808,7124,7481,82413
2016,25631,21770,24117,2634,74153,8357,8288,90798
2017,26782,22768,25573,2670,77793,8316,8262,94370
2018,28261,24016,27587,2753,82617,8141,9007,99765
2019,30552,25476,28194,2897,87118,8929,9994,106041
2020,34292,20727,25566,2658,83243,8771,9742,101756
2021,34981,21119,27623,3695,87417,8729,9968,106115
2022,35324,24294,28844,2871,91333,9490,10693,111516
2023,36968,26236,29493,3112,95808,10403,11793,118004
2024,41205,28033,31074,3596,103908,10558,12475,126941
